Kategori,FACEBOOK,GOOGLE,LINKEDIN,APPLE,INSTAGRAM,SKYPE,NIKE,SPOTIFY,ANDROID,TWITTER
NAME,1,1,1,1,1,1,1,1,0,1
BIRTHDATE,1,1,1,1,1,1,1,1,0,0
RELATIONSHIP,1,1,0,1,0,0,0,0,1,1
FRIENDS,1,1,1,1,1,1,1,1,1,1
HEALTH,1,1,0,1,0,0,1,0,0,0
NETWORK,1,1,1,1,1,1,0,1,0,1
ADDRESS,1,1,1,1,0,1,1,1,0,0
MESSAGES,1,1,0,1,0,0,0,0,0,0
POLITICAL OPINION,1,1,1,1,1,0,0,0,0,1
EDUCATION,1,1,1,1,0,0,0,0,0,0
EVENTS,1,1,1,1,1,0,0,0,1,0
SEX,1,1,1,1,1,1,1,0,0,1
RELIGION,1,1,0,1,0,1,0,1,0,1
WEIGHT,1,1,0,1,0,0,1,0,0,0
CONTACTS,1,1,1,1,0,1,0,0,0,0
AGE,1,1,1,1,1,1,1,1,0,1
PHONE NUMBER,1,1,1,1,1,1,1,0,0,0
FINGERPRINT,0,0,0,1,0,0,0,0,1,0
WEB-HISTORY,1,1,1,1,0,0,0,0,1,0
JOB,1,1,1,0,0,0,0,0,0,1
INCOME,0,1,1,1,0,0,0,0,0,0
E-MAILS,0,1,1,1,0,0,0,0,0,0
HOBBIES,1,1,1,1,1,0,0,0,0,1
SPENDINGS,1,1,0,1,1,0,1,0,0,0
FAMILY,1,1,0,1,1,0,0,0,0,1
ECONOMY,1,1,1,1,0,0,0,0,1,0
LOCATION,1,1,1,1,1,1,1,1,1,1
PHOTOS,1,1,0,1,1,0,0,0,0,0
SCHEDULE,1,1,0,1,0,0,0,0,0,1
MUSIC,1,1,0,1,0,0,0,1,0,1
MOVIES,1,1,0,1,0,0,0,0,0,1
TV,1,1,0,1,0,1,0,0,0,1
CREDITCARD INFO,1,1,0,1,0,0,1,1,0,0
